time,x,y,psi,speed,curvature
1.57,2.4806,0.0778515,0.0313103,3.14,-7.67234e-05
1.58,2.5122,0.0788412,0.0313079,3.16,-7.76988e-05
1.59,2.544,0.0798371,0.0313054,3.18,-7.86803e-05
1.6,2.576,0.0808391,0.0313029,3.2,-7.96678e-05
1.61,2.6082,0.0818474,0.0313003,3.22,-8.06615e-05
1.62,2.6406,0.0828618,0.0312977,3.24,-8.16612e-05
1.63,2.6732,0.0838824,0.031295,3.26,-8.2667e-05
1.64,2.706,0.0849091,0.0312923,3.28,-8.36789e-05
1.65,2.739,0.0859421,0.0312895,3.3,-8.46969e-05
1.66,2.7722,0.0869812,0.0312866,3.32,-8.5721e-05
1.67,2.8056,0.0880264,0.0312838,3.34,-8.67512e-05
1.68,2.8392,0.0890779,0.0312808,3.36,-8.77874e-05
1.69,2.873,0.0901355,0.0312778,3.38,-8.88297e-05
1.7,2.907,0.0911992,0.0312748,3.4,-8.9878e-05
1.71,2.9412,0.0922691,0.0312717,3.42,-9.09324e-05
1.72,2.9756,0.0933451,0.0312686,3.44,-9.19929e-05
1.73,3.0102,0.0944273,0.0312654,3.46,-9.30595e-05
1.74,3.045,0.0955157,0.0312621,3.48,-9.41321e-05
1.75,3.08,0.0966101,0.0312588,3.5,-9.52107e-05
1.76,3.1152,0.0977107,0.0312554,3.52,-9.62954e-05
1.77,3.1506,0.0988175,0.031252,3.54,-9.73861e-05
1.78,3.1862,0.0999304,0.0312485,3.56,-9.84829e-05
1.79,3.222,0.101049,0.0312449,3.58,-9.95858e-05
1.8,3.258,0.102174,0.0312413,3.6,-0.000100695
1.81,3.2942,0.103306,0.0312377,3.62,-0.000101809
1.82,3.3306,0.104443,0.0312339,3.64,-0.00010293
1.83,3.3672,0.105587,0.0312302,3.66,-0.000104057
1.84,3.404,0.106736,0.0312263,3.68,-0.00010519
1.85,3.441,0.107892,0.0312224,3.7,-0.000106329
1.86,3.4782,0.109054,0.0312184,3.72,-0.000107474
1.87,3.5156,0.110221,0.0312144,3.74,-0.000108625
1.88,3.5532,0.111395,0.0312103,3.76,-0.000109782
1.89,3.591,0.112575,0.0312061,3.78,-0.000110945
1.9,3.629,0.113762,0.0312018,3.8,-0.000112114
1.91,3.6672,0.114954,0.0311975,3.82,-0.000113289
1.92,3.7056,0.116152,0.0311932,3.84,-0.00011447
1.93,3.7442,0.117356,0.0311887,3.86,-0.000115657
1.94,3.783,0.118567,0.0311842,3.88,-0.00011685
1.95,3.822,0.119783,0.0311796,3.9,-0.000118049
1.96,3.8612,0.121006,0.031175,3.92,-0.000119254
1.97,3.9006,0.122235,0.0311702,3.94,-0.000120465
1.98,3.9402,0.123469,0.0311655,3.96,-0.000121682
1.99,3.98,0.12471,0.0311606,3.98,-0.000122905
2,4.02,0.125957,0.0311556,4,-0.000124133
2.01,4.0602,0.127209,0.0311506,4.02,-0.000125368
2.02,4.1006,0.128468,0.0311455,4.04,-0.000126609
2.03,4.1412,0.129733,0.0311404,4.06,-0.000127855
2.04,4.182,0.131004,0.0311351,4.08,-0.000129108
2.05,4.223,0.132281,0.0311298,4.1,-0.000130366
2.06,4.2642,0.133563,0.0311244,4.12,-0.00013163
2.07,4.3056,0.134852,0.0311189,4.14,-0.000132901
2.08,4.3472,0.136147,0.0311134,4.16,-0.000134177
2.09,4.389,0.137448,0.0311077,4.18,-0.000135459
2.1,4.431,0.138755,0.031102,4.2,-0.000136747
2.11,4.4732,0.140068,0.0310962,4.22,-0.000138041
2.12,4.5156,0.141386,0.0310903,4.24,-0.000139341
2.13,4.5582,0.142711,0.0310843,4.26,-0.000140646
2.14,4.601,0.144042,0.0310783,4.28,-0.000141958
2.15,4.644,0.145379,0.0310722,4.3,-0.000143275
2.16,4.6872,0.146721,0.0310659,4.32,-0.000144598
2.17,4.7306,0.14807,0.0310596,4.34,-0.000145928
2.18,4.7742,0.149424,0.0310532,4.36,-0.000147263
2.19,4.818,0.150785,0.0310468,4.38,-0.000148603
2.2,4.862,0.152151,0.0310402,4.4,-0.00014995
2.21,4.9062,0.153523,0.0310335,4.42,-0.000151303
2.22,4.9506,0.154901,0.0310268,4.44,-0.000152661
2.23,4.9952,0.156286,0.0310199,4.46,-0.000154025
2.24,5.04,0.157676,0.031013,4.48,-0.000155395
2.25,5.085,0.159071,0.031006,4.5,-0.000156771
2.26,5.1302,0.160473,0.0309988,4.52,-0.000158152
2.27,5.1756,0.161881,0.0309916,4.54,-0.00015954
2.28,5.2212,0.163294,0.0309843,4.56,-0.000160933
2.29,5.267,0.164714,0.0309769,4.58,-0.000162332
2.3,5.313,0.166139,0.0309694,4.6,-0.000163737
2.31,5.3592,0.16757,0.0309618,4.62,-0.000165147
2.32,5.4056,0.169007,0.0309541,4.64,-0.000166563
2.33,5.4522,0.17045,0.0309463,4.66,-0.000167985
2.34,5.499,0.171898,0.0309384,4.68,-0.000169413
2.35,5.546,0.173353,0.0309304,4.7,-0.000170847
2.36,5.5932,0.174813,0.0309223,4.72,-0.000172286
2.37,5.6406,0.176279,0.0309141,4.74,-0.000173731
2.38,5.6882,0.17775,0.0309058,4.76,-0.000175181
2.39,5.736,0.179228,0.0308974,4.78,-0.000176638
